 Province ,Suiside,Divorce,Addiction,Alcoholism,Depression,Pauper,Schizophrenia,Anxiety,
Sisaket ,0.066660454,0.959774497,5.443030139,4.516585869,3.839097989,86.44407446,9.828335727,12.27164543,
Sakon Nakhon ,0.05406202,1.29748847,20.64558771,23.667829,3.990997802,72.6805675,8.55836649,5.754117215,
Songkhla ,0.040364956,1.655671347,1.285305173,6.694209258,4.304178977,47.97433996,6.757235241,7.67713134,
Satun ,0.0345713,1.178567051,0.392855684,5.748264364,3.108274169,28.85181255,5.886549564,6.36111923,
Samut Prakan ,0.025657971,3.117054776,0.838160401,2.447614975,2.102398632,0.8,4.763052521,3.943552463,
Samut Songkhram ,0.057165723,1.678593515,0.680791797,1.200480192,3.190886744,6.2,6.309017113,5.612634664,
Samut Sakhon ,0.039383,2.151061934,1.676590557,1.92226546,4.609686343,4.9,5.635519715,5.356087955,
Sa Kaeo ,0.073559226,1.614714716,3.270694363,3.78202069,3.516489826,118.7,8.753547887,6.265093097,
Saraburi ,0.063005322,3.200670377,2.005144385,2.128004763,3.940982915,11.2,6.465921209,4.915990278,
Sing Buri ,0.061886196,1.923232554,2.35167545,4.698590423,7.050265873,20.6,7.797660702,9.725653732,
Sukhothai ,0.051740829,1.47878626,2.480221651,9.12307641,5.948526221,94.77133916,6.404179324,4.352905832,
Suphan Buri ,0.063669034,1.370063292,1.583472462,4.462727676,3.896780705,90.8,5.573398606,4.735089655,
Surat Thani ,0.058054112,1.416950367,1.974556531,6.401003404,2.993728722,28.79932992,6.397419817,5.670668339,
Surin ,0.076286015,1.41605916,5.637536534,6.280246213,5.874023181,149.8462033,10.80972837,6.73700873,
Nong Khai ,0.038703735,1.724251373,1.908094112,1.970020087,4.503179512,15.83408897,7.734941344,5.103087397,
Nong Bua Lamphu ,0.048946572,1.501680825,2.997488062,1.687677798,5.143305773,55.75523714,6.668480953,5.200083797,
Ang Thong ,0.063687676,1.247216981,1.817752409,4.107855079,7.724784324,42.8,6.32365546,6.498796568,
Amnat Charoen ,0.060405355,1.566985986,4.11822394,10.71306746,4.395377924,39.02883464,12.78106257,8.04101879,
Udon Thani ,0.060945687,1.728064155,2.152779409,3.271386698,2.79397882,104.5374816,6.400566795,7.18524251,
Uttaradit ,0.072268576,1.635897773,3.635328384,5.054420428,7.261896941,45.30308209,7.618859908,4.85075444,
Uthai Thani ,0.094034568,1.531853452,5.25076896,8.614779807,7.935304217,22.03766996,7.986871561,7.189094417,
Ubon Ratchathani ,0.061330253,1.313220597,4.054252527,5.818842268,3.679277207,180.9951264,11.01147037,12.42206619,
