 Province ,Suicide,Divorce,Addiction,Alcoholism,Depression,Pauper,Schizophrenia,Anxietie,
Satun ,0.031837096,0.977398846,0.815029656,0.191022576,2.757092509,21.6,8.72018058,6.418358543,
Samut Prakan ,0.026109578,2.996271869,0.088614325,0.065669545,1.660727397,7.5,3.577012178,3.836525559,
Samut Songkhram ,0.061978989,1.750906443,0.087803568,0.072308821,2.954331815,4.9,5.671077505,6.642081668,
Samut Sakhon ,0.049267991,2.001038418,0.252024725,0.223600884,3.822059175,9.9,4.312844165,5.468747039,
Sa Kaeo ,0.097626942,1.619884077,0.030734408,0.028926501,1.750053333,66.7,4.225077107,6.324056363,
Saraburi ,0.049007364,2.992610954,0.39205891,0.472683928,3.887390563,35.7,6.296655801,5.710148318,
Sing Buri ,0.075590432,2.06928808,0.434644985,0.278739719,6.387391516,12.4,6.637784822,10.01573226,
Sukhothai ,0.091393856,1.452331457,0.073115085,0.096378975,6.208135383,46.1,5.184524195,4.916989453,
Suphan Buri ,0.097831096,1.351955031,0.628240655,0.406647328,3.418194934,76.2,5.300559523,4.684105747,
Surat Thani ,0.072979523,1.754389334,0.057615413,0.034569248,2.589812827,23.2,4.345162418,6.111074835,
Surin ,0.057436852,1.010888591,0.633241291,0.954887661,3.313388387,109,7.055399279,4.95895419,
Nong Khai ,0.048414521,1.527962291,0.077463234,0.085209557,3.946751773,19.2,5.457284836,6.996866612,
Nong Bua Lamphu ,0.06086989,1.388226193,0.076578248,0.084432428,5.411529543,46.2,5.350659653,6.711396218,
Ang Thong ,0.056496178,1.652513197,0.112992355,0.0953373,9.957451316,37.5,6.444095267,10.14812592,
Amnat Charoen ,0.042609854,1.193075899,0.290279627,0.466045273,3.334221039,39.8,8.889480692,6.133155792,
Udon Thani ,0.054127992,1.711081337,0.32349435,0.362975944,3.911861799,57.6,6.331701427,8.014126769,
Uttaradit ,0.07833205,1.727656871,0.152312319,0.424298602,5.955411657,36.8,6.505911894,5.792219887,
Uthai Thani ,0.060548998,1.456203396,0.099905846,0.296690089,7.514130622,11.3,6.030680177,8.725110578,
Ubon Ratchathani ,0.049260577,1.347899307,1.028517544,1.147067724,2.491177755,198.5,8.535612961,13.59591928,
