Year, Province ,Suicide,Divorce,Addiction,Alcoholism,Depression,Pauper,Schizophrenia,Anxietie
2558,Roi Et ,0.048171546,1.183643696,0.639993394,0.720279303,3.556283481,30,12.06582527,9.319282535
2558,Ranong ,0.045527234,1.525162333,0.682908507,0.495108668,5.89577678,30.7,8.029865865,11.10295415
2558,Rayong ,0.085369821,4.420096056,0.3149852,0.242862421,2.338838705,4.7,3.974112338,8.210221711
2558,Ratchaburi ,0.083650163,1.592887615,0.382905677,0.352273223,1.714239261,109.4,5.451398666,4.491189046
2558,Lopburi ,0.100257768,1.960303201,0.554056086,0.550098543,3.542001409,60.7,5.262213639,4.605261422
2558,Lampang ,0.095824832,1.948438255,0.143737248,0.220929474,4.868433836,73,6.393645749,10.82820604
2558,Lamphun ,0.197563548,2.568326118,1.215015817,1.728681041,10.79684787,24.9,8.218643578,8.151965881
2558,Loei ,0.100839012,1.731594911,1.01311695,1.1202584,3.833458069,52.1,8.060818529,10.31866703
2558,Sisaket ,0.074326831,0.920561665,0.141152789,0.427549751,3.427898883,31.3,7.586791918,13.52407371
2558,Sakon Nakhon ,0.063142829,1.307582752,0.387626812,0.643706063,5.127723911,158.6,8.557607308,7.704302131
2558,Songkhla ,0.049923047,1.616080356,0.907886272,0.47783488,3.080965198,32.3,6.845162956,6.920047527
2558,Satun ,0.031837096,0.977398846,0.815029656,0.191022576,2.757092509,21.6,8.72018058,6.418358543
2558,Samut Prakan ,0.026109578,2.996271869,0.088614325,0.065669545,1.660727397,7.5,3.577012178,3.836525559
2558,Samut Songkhram ,0.061978989,1.750906443,0.087803568,0.072308821,2.954331815,4.9,5.671077505,6.642081668
2558,Samut Sakhon ,0.049267991,2.001038418,0.252024725,0.223600884,3.822059175,9.9,4.312844165,5.468747039
2558,Sa Kaeo ,0.097626942,1.619884077,0.030734408,0.028926501,1.750053333,66.7,4.225077107,6.324056363
2558,Saraburi ,0.049007364,2.992610954,0.39205891,0.472683928,3.887390563,35.7,6.296655801,5.710148318
2558,Sing Buri ,0.075590432,2.06928808,0.434644985,0.278739719,6.387391516,12.4,6.637784822,10.01573226
2558,Sukhothai ,0.091393856,1.452331457,0.073115085,0.096378975,6.208135383,46.1,5.184524195,4.916989453
2558,Suphan Buri ,0.097831096,1.351955031,0.628240655,0.406647328,3.418194934,76.2,5.300559523,4.684105747
2558,Surat Thani ,0.072979523,1.754389334,0.057615413,0.034569248,2.589812827,23.2,4.345162418,6.111074835
2558,Surin ,0.057436852,1.010888591,0.633241291,0.954887661,3.313388387,109,7.055399279,4.95895419
2558,Nong Khai ,0.048414521,1.527962291,0.077463234,0.085209557,3.946751773,19.2,5.457284836,6.996866612
2558,Nong Bua Lamphu ,0.06086989,1.388226193,0.076578248,0.084432428,5.411529543,46.2,5.350659653,6.711396218
2558,Ang Thong ,0.056496178,1.652513197,0.112992355,0.0953373,9.957451316,37.5,6.444095267,10.14812592
2558,Amnat Charoen ,0.042609854,1.193075899,0.290279627,0.466045273,3.334221039,39.8,8.889480692,6.133155792
2558,Udon Thani ,0.054127992,1.711081337,0.32349435,0.362975944,3.911861799,57.6,6.331701427,8.014126769
2558,Uttaradit ,0.07833205,1.727656871,0.152312319,0.424298602,5.955411657,36.8,6.505911894,5.792219887
2558,Uthai Thani ,0.060548998,1.456203396,0.099905846,0.296690089,7.514130622,11.3,6.030680177,8.725110578
2558,Ubon Ratchathani ,0.049260577,1.347899307,1.028517544,1.147067724,2.491177755,198.5,8.535612961,13.59591928
2559,Krabi ,0.060536352,1.530704903,0.955609558,0.458346666,2.432264146,23.7,10.94626966,5.348819109
2559,Bangkok,0.026255284,2.87218517,0.570114736,0.352749562,1.175415124,118,4.028667912,1.056819828
2559,Kanchanaburi ,0.077905793,1.52349107,0.58985815,0.281944776,3.288119119,112.7,6.771621022,3.237418524
2559,Kalasin ,0.067033727,1.314267316,1.146682999,0.700807147,3.813812807,259.3,6.194525782,8.627037546
2559,Kamphaeng Phet ,0.113898655,1.491660697,0.658691016,0.537930997,6.184834188,15.8,6.247958744,6.54848652
2559,Khon Kaen ,0.047851256,1.68981703,1.239681377,1.853401557,2.996824012,168.3,7.313452435,11.9789499
2559,Chanthaburi ,0.143577459,1.530233446,3.154925746,1.530233446,4.314880481,19.8,7.891092719,5.916902656
2559,Chachoengsao ,0.06859083,2.359238756,0.202914539,0.220062246,3.489558475,35.6,5.471547666,3.879668821
2559,Chonburi ,0.04470245,4.283182457,0.343865001,0.266151511,1.645737896,0.5,4.749463399,4.147011916
2559,Chainat ,0.054424731,1.569246399,0.435397845,0.710545094,6.769831767,88.9,14.16554794,15.50500103
2559,Chaiyaphum ,0.065941254,1.332892553,0.706890246,0.531046901,5.200566919,54.8,6.394543229,6.836789241
2559,Chumphon ,0.051703635,1.720140157,1.203103809,0.596580401,1.767866589,26.2,10.116015,5.683422622
2559,Chiang Mai ,0.141984705,1.732213404,0.136821625,0.233199122,6.545064655,181.3,7.456348308,7.162913251
2559,Chiang Rai ,0.139764235,1.976041665,0.703188808,1.427591831,7.00817808,114.1,6.156489771,9.684288815
2559,Trang ,0.068738723,1.337280602,0.167160075,0.060927504,5.728747627,99.6,6.637973457,6.530178643
2559,Trat ,0.132466666,1.676388502,3.645117233,0.790232182,2.900563212,37.9,16.79129192,4.823613782
2559,Tak ,0.125342317,1.272414435,1.716809924,0.978049901,4.928232028,139.6,10.05017491,5.059271723
2559,Nakhon Nayok ,0.077592461,1.749709998,0.457795521,0.221138514,4.341298199,22.6,14.8744748,5.295685471
2559,Nakhon Pathom ,0.05027551,1.747353274,0.311708161,0.275956687,2.84112492,16.6,6.267680221,4.749359825
2559,Nakhon Phanom ,0.033589735,1.22182661,0.758568182,0.801954923,3.32398419,171.5,10.43940972,11.21197362
2559,Nakhon Ratchasima ,0.075380041,1.705187898,1.2083649,1.81407018,5.574696671,223.8,9.707274174,8.28266754
2559,Nakhon Si Thammarat ,0.077362057,1.222965184,0.224349965,0.124423975,5.546859487,123.4,5.261909244,8.735465604
2559,Nakhon Sawan ,0.088061898,1.726575301,0.859071921,1.228182431,8.653486736,82.8,7.45059868,11.37028998
2559,Nonthaburi ,0.0359767,2.220515421,0.580647212,0.48275712,3.486393277,10.6,7.412036967,4.567367627
2559,Narathiwat ,0.014010044,0.422848599,1.816211149,0.152836843,3.660442386,257,4.968471033,4.60293625
2559,Nan ,0.102523758,1.447886546,2.13416803,2.048382845,4.870924681,100.5,10.17286761,9.913419732
