 Province ,Year,Suicide,Addiction,Alcoholism,Schizophrenia,Depression,Anxietie
Lamphun ,2559,11.87836554,241.031834,255.8797909,1279.151489,1099.738676,822.5768134
Lamphun ,2560,9.521718776,310.1170907,288.5609774,432.0479895,647.6091229,429.6675598
Loei ,2558,10.08390121,101.311695,112.02584,806.0818529,383.3458069,1031.866703
Loei ,2559,8.814164362,273.8686784,303.4590873,1131.51835,519.7209058,1242.954571
Loei ,2560,8.166188212,474.4241267,503.9480379,989.3651103,556.557135,1215.662749
Lopburi ,2558,10.0257768,55.40560863,55.00985428,526.2213639,354.2001409,460.5261422
Lopburi ,2559,9.511479828,55.87994399,58.25781394,753.9168802,358.529948,462.7599144
Lopburi ,2560,11.5417496,197.8202198,322.2295439,633.9909894,467.8434778,551.05144
Mae Hong Son ,2558,15.46182809,17.55126432,96.1140665,686.1708574,929.3812344,1042.628678
Mae Hong Son ,2559,11.24606388,16.4365549,73.0994152,1702.913596,982.7329665,1082.649919
Mae Hong Son ,2560,14.55280099,503.7837283,404.9102863,641.6073141,889.0049308,814.5288317
Maha Sarakham ,2558,5.71513482,201.6923034,178.9356756,856.6467538,331.9973773,511.8682568
Maha Sarakham ,2559,3.528592496,339.056226,239.9442898,566.7542242,340.5091759,524.5148964
Maha Sarakham ,2560,5.29732537,1228.875617,2279.823422,762.1916385,327.9148273,405.0895871
Mukdahan ,2558,7.797180886,14.15043939,13.57287043,931.6187236,737.8443394,1184.305141
Mukdahan ,2559,4.897470025,36.010809,28.23247426,1290.915481,758.5316809,1197.287378
Mukdahan ,2560,8.328451138,295.2292334,296.0907973,1419.857325,846.9173243,1280.571159
Nakhon Nayok ,2558,4.65818618,28.33729926,12.42182981,581.1087259,428.1649464,528.7041314
Nakhon Nayok ,2559,7.759246112,45.77955206,22.11385142,1487.44748,434.1298199,529.5685471
Nakhon Nayok ,2560,4.650820288,281.7621958,529.8059445,573.6011689,458.4933668,531.356218
Nakhon Pathom ,2558,4.708984743,20.0692445,19.06017634,397.6849734,268.6363677,458.6775377
Nakhon Pathom ,2559,5.027550979,31.17081607,27.59566871,626.7680221,284.112492,474.9359825
Nakhon Pathom ,2560,4.99950005,102.878601,353.4091035,513.1709051,292.9707029,398.071304
Nakhon Phanom ,2558,3.083192955,19.48017367,15.41596477,770.7982387,213.5811847,979.3341985
Nakhon Phanom ,2559,3.358973498,75.85681816,80.19549226,1043.940972,332.398419,1121.197362
Nakhon Phanom ,2560,4.749711176,250.6171132,200.8848433,1182.258991,346.0304289,983.050516
Nakhon Ratchasima ,2558,7.701082116,44.18591175,78.76453293,669.3079091,412.9228733,756.5360075
Nakhon Ratchasima ,2559,7.538004104,120.83649,181.407018,970.7274174,557.4696671,828.266754
Nakhon Ratchasima ,2560,6.915960441,483.8892322,683.2360919,1135.471505,782.1495261,771.4335874
Nakhon Sawan ,2558,7.74638883,30.70556536,52.17146212,851.6361213,837.9166134,1120.799801
Nakhon Sawan ,2559,8.806189815,85.90719213,122.8182431,745.059868,865.3486736,1137.028998
Nakhon Sawan ,2560,7.23646804,222.7328475,294.5336472,960.7586074,863.0192988,982.2800513
